fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,nonpeak,2.75,41,,17,,
regular,nonpeak,3.5,41,,18,,
regular,nonpeak,4.5,41,,19,,
regular,nonpeak,5,41,,20,,
regular,nonpeak,7,41,,21,,
regular,nonpeak,4.5,41,,31,,
regular,nonpeak,2.5,41,,41,,
regular,nonpeak,14.25,42,,11,,
regular,nonpeak,9.75,42,,2,,
regular,nonpeak,8.5,42,,12,,
regular,nonpeak,7.5,42,,13,,
regular,nonpeak,7,42,,14,,
regular,nonpeak,5.25,42,,15,,
regular,nonpeak,4.75,42,,16,,
regular,nonpeak,3.5,42,,17,,
regular,nonpeak,5,42,,18,,
regular,nonpeak,6,42,,19,,
regular,nonpeak,6.25,42,,20,,
regular,nonpeak,9,42,,21,,
regular,nonpeak,5.25,42,,31,,
regular,nonpeak,2.5,42,,41,,
regular,nonpeak,2.5,42,,42,,
regular,nonpeak,16.5,51,,11,,
regular,nonpeak,12,51,,2,,
regular,nonpeak,11.75,51,,12,,
regular,nonpeak,10.75,51,,13,,
regular,nonpeak,10.5,51,,14,,
regular,nonpeak,8,51,,15,,
regular,nonpeak,6.75,51,,16,,
regular,nonpeak,6,51,,17,,
regular,nonpeak,5,51,,18,,
regular,nonpeak,2.75,51,,19,,
regular,nonpeak,2.75,51,,20,,
regular,nonpeak,6,51,,21,,
regular,nonpeak,8,51,,31,,
regular,nonpeak,7,51,,41,,
regular,nonpeak,9,51,,42,,
regular,nonpeak,2.5,51,,51,,
regular,nonpeak,8.5,12,,0,,
regular,nonpeak,9.75,13,,0,,
regular,nonpeak,10.25,14,,0,,
regular,nonpeak,10.25,15,,0,,
regular,nonpeak,11.5,16,,0,,
regular,nonpeak,12.5,17,,0,,
regular,nonpeak,13.5,18,,0,,
regular,nonpeak,14.75,19,,0,,
regular,nonpeak,15.75,20,,0,,
regular,nonpeak,17.75,21,,0,,
regular,nonpeak,11.5,31,,0,,
regular,nonpeak,12.75,41,,0,,
regular,nonpeak,13.25,42,,0,,
regular,nonpeak,15.5,51,,0,,
regular,nonpeak,8.5,12,,1,,
regular,nonpeak,9.75,13,,1,,
regular,nonpeak,10.25,14,,1,,
regular,nonpeak,10.25,15,,1,,
regular,nonpeak,11.5,16,,1,,
regular,nonpeak,12.5,17,,1,,
regular,nonpeak,13.5,18,,1,,
regular,nonpeak,14.75,19,,1,,
regular,nonpeak,15.75,20,,1,,
regular,nonpeak,17.75,21,,1,,
regular,nonpeak,11.5,31,,1,,
regular,nonpeak,12.75,41,,1,,
