fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,,9.75,212,,108,,
regular,,9.75,212,,109,,
regular,,9.75,212,,110,,
regular,,9.75,212,,111,,
regular,,9.75,212,,112,,
regular,,9.75,212,,113,,
regular,,9.75,212,,114,,
regular,,11,212,,115,,
regular,,11,212,,116,,
regular,,12.5,212,,117,,
regular,,14,212,,118,,
regular,,15.5,212,,119,,
regular,,16.5,212,,120,,
regular,,18,212,,121,,
regular,,20.25,212,,122,,
regular,,9.75,213,,102,,
regular,,9.75,213,,103,,
regular,,9.75,213,,104,,
regular,,9.75,213,,105,,
regular,,9.75,213,,106,,
regular,,9.75,213,,107,,
regular,,9.75,213,,108,,
regular,,9.75,213,,109,,
regular,,9.75,213,,110,,
regular,,9.75,213,,111,,
regular,,9.75,213,,112,,
regular,,9.75,213,,113,,
regular,,9.75,213,,114,,
regular,,11,213,,115,,
regular,,11,213,,116,,
regular,,12.5,213,,117,,
regular,,14,213,,118,,
regular,,15.5,213,,119,,
regular,,16.5,213,,120,,
regular,,18,213,,121,,
regular,,20.25,213,,122,,
