fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,peak,22.75,7,3,12,,
regular,peak,29.75,7,3,14,,
regular,peak,21.25,9,3,10,,
regular,peak,26,9,3,12,,
regular,peak,32.75,9,3,14,,
regular,peak,28,10,3,12,,
regular,peak,34.75,10,3,14,,
regular,peak,40,12,3,14,,
regular,peak,4.25,4,4,7,,
regular,peak,6,4,4,9,,
regular,peak,8.25,4,4,10,,
regular,peak,12,4,4,12,,
regular,peak,18.5,4,4,14,,
regular,peak,6.5,7,4,9,,
regular,peak,9,7,4,10,,
regular,peak,12.25,7,4,12,,
regular,peak,18.75,7,4,14,,
regular,peak,11,9,4,10,,
regular,peak,14.75,9,4,12,,
regular,peak,21.75,9,4,14,,
regular,peak,17.75,10,4,12,,
regular,peak,24.5,10,4,14,,
regular,peak,28,12,4,14,,
regular,peak,4.25,7,7,9,,
regular,peak,6,7,7,10,,
regular,peak,10.5,7,7,12,,
regular,peak,17.25,7,7,14,,
regular,peak,6.5,9,7,10,,
regular,peak,11,9,7,12,,
regular,peak,17.75,9,7,14,,
regular,peak,13.5,10,7,12,,
regular,peak,20.25,10,7,14,,
regular,peak,24.5,12,7,14,,
